,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2810,MLS Listing,,Condo/Co-op,118 E 60th St Unit 15-A,New York,NY,10022.0,569000.0,1.0,1.0,Lenox Hill,,24100.0,1964.0,32.0,,1647.0,Active,,,https://www.redfin.com/NY/New-York/118-E-60th-St-10022/unit-15A/home/45181864,REBNY,BNYC-1976150,N,Y,40.7626808,-73.9682907
2811,MLS Listing,,Condo/Co-op,432 Park Ave Unit 68B,New York,NY,10022.0,30500000.0,4.0,4.5,Midtown Central,4019.0,34470.0,2015.0,32.0,7589.0,15706.0,Active,,,https://www.redfin.com/NY/New-York/432-Park-Ave-10022/unit-68B/home/109655140,REBNY,RPLU-5122335859,N,Y,40.761648,-73.9717602
2812,MLS Listing,,Condo/Co-op,510 Park Ave Unit 6A,New York,NY,10022.0,7500000.0,5.0,5.5,Lenox Hill,4850.0,,1925.0,35.0,1546.0,9635.0,Active,,,https://www.redfin.com/NY/New-York/510-Park-Ave-10022/unit-6A/home/114973910,OneKey,H6205007,N,Y,40.7635361,-73.9697633
2813,MLS Listing,,Condo/Co-op,400 E 52nd St Unit 15A,New York,NY,10022.0,1195000.0,2.0,2.0,Beekman,1200.0,13425.0,1931.0,35.0,996.0,3602.0,Active,,,https://www.redfin.com/NY/New-York/400-E-52nd-St-10022/unit-15A/home/184732714,REBNY,RPLU-5122335073,N,Y,40.7547386,-73.9648027
2814,MLS Listing,,Condo/Co-op,411 E 53rd St Unit 12C,New York,NY,10022.0,950000.0,1.0,1.0,Sutton,879.0,17473.0,1959.0,36.0,1081.0,819.0,Active,,,https://www.redfin.com/NY/New-York/411-E-53rd-St-10022/unit-12C/home/45281982,REBNY,RPLU-5122348549,N,Y,40.7557937,-73.9642805
2815,MLS Listing,,Condo/Co-op,250 E 53rd St #303,New York,NY,10022.0,2035000.0,2.0,2.5,Turtle Bay,1510.0,10042.0,2006.0,36.0,1348.0,2244.0,Active,,,https://www.redfin.com/NY/New-York/250-E-53rd-St-10022/unit-303/home/45224713,REBNY,RPLU-5122333527,N,Y,40.7567573,-73.9675341
2816,MLS Listing,,Condo/Co-op,410 E 57TH St Unit MAISONETTE,,NY,10022.0,1200000.0,3.0,2.0,,1817.0,,,36.0,660.0,4881.0,Active,,,https://www.redfin.com/NY/New-York/410-E-57th-St-10022/home/45282329,REBNY,RPLU-5122322324,N,Y,40.7578323,-73.9624557
2817,MLS Listing,,Condo/Co-op,250 E 53rd St #702,New York,NY,10022.0,1895000.0,2.0,2.0,Turtle Bay,1301.0,10042.0,2006.0,36.0,1457.0,1838.0,Active,,,https://www.redfin.com/NY/New-York/250-E-53rd-St-10022/unit-702/home/45224649,REBNY,RPLU-5122309238,N,Y,40.7567573,-73.9675341
2818,MLS Listing,,Condo/Co-op,342 E 53rd St Unit 6-AGH,New York,NY,10022.0,1095000.0,2.0,3.0,Turtle Bay,,7531.0,1958.0,36.0,,4114.0,Active,April-23-2023 01:00 PM,April-23-2023 02:30 PM,https://www.redfin.com/NY/New-York/342-E-53rd-St-10022/unit-6AGH/home/172574653,REBNY,OLRS-1889599,N,Y,40.755811,-73.96552
2819,MLS Listing,,Condo/Co-op,200 E 59th St Ph 32,New York,NY,10022.0,17990000.0,2.0,3.0,Midtown Central,3924.0,2625.0,2017.0,36.0,4585.0,6913.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-32/home/144382823,REBNY,RPLU-5122324937,N,Y,40.7613293,-73.9664571
2820,MLS Listing,,Condo/Co-op,200 E 59th St Unit 10A,New York,NY,10022.0,3350000.0,2.0,2.5,Midtown Central,1416.0,2625.0,,36.0,2366.0,2544.0,Active,April-23-2023 01:00 PM,April-23-2023 03:00 PM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-10A/home/184725929,REBNY,RPLU-5122322196,N,Y,40.7613293,-73.9664571
2821,MLS Listing,,Condo/Co-op,200 E 59th St Unit 14A,New York,NY,10022.0,3550000.0,2.0,2.0,Midtown Central,1416.0,2625.0,2017.0,36.0,2507.0,2544.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-14A/home/144319541,REBNY,RPLU-5122322229,N,Y,40.7613293,-73.9664571
2822,MLS Listing,,Condo/Co-op,200 E 59th St Unit 6A,New York,NY,10022.0,3150000.0,2.0,2.0,Midtown Central,1416.0,2625.0,2017.0,36.0,2225.0,2544.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-6A/home/115577590,REBNY,RPLU-5122322126,N,Y,40.7613293,-73.9664571
2823,MLS Listing,,Condo/Co-op,200 E 59th St Unit 22E,New York,NY,10022.0,5620000.0,2.0,2.0,Midtown Central,1720.0,2625.0,2017.0,36.0,3267.0,3051.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-22E/home/184725928,REBNY,RPLU-5122321747,N,Y,40.7613293,-73.9664571
2824,MLS Listing,,Condo/Co-op,200 E 59th St Unit 30E,New York,NY,10022.0,6175000.0,2.0,2.0,Midtown Central,1720.0,2625.0,2017.0,36.0,3590.0,3051.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-30E/home/184725927,REBNY,RPLU-5122321959,N,Y,40.7613293,-73.9664571
2825,MLS Listing,,Condo/Co-op,200 E 59th St Unit 24D,New York,NY,10022.0,4345000.0,2.0,2.0,Midtown Central,1555.0,2625.0,2017.0,36.0,2794.0,2692.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-24D/home/143179642,REBNY,RPLU-5122320587,N,Y,40.7613293,-73.9664571
2826,MLS Listing,,Condo/Co-op,200 E 59th St Unit 16B,New York,NY,10022.0,1845000.0,1.0,1.0,Midtown Central,835.0,2625.0,2017.0,36.0,2210.0,1427.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-16B/home/146130161,REBNY,RPLU-5122320120,N,Y,40.7613293,-73.9664571
